title,filename,relative_path,orientation,dimensions,category,game_types,environment,mood,style,dominant_color,dominant_hex,palette_colors,palette_hex,ui_status,description,keywords,original_filename
Sunshine Pizzeria,sunshine-pizzeria.png,Landscape 1920x1080/Cooking & Food/sunshine-pizzeria.png,Landscape,1920x1080,Cooking & Food,cooking game; restaurant simulation; time management; casual,modern pizzeria; pizza; vegetables; sunny kitchen,fresh; cheerful; polished,stylized three-dimensional; cartoon; casual game art,yellow,#37372A,yellow; red; orange; gold,#37372A; #A63F26; #AA7451; #CCA16A; #D8DAB4,No baked-in UI detected,A bright modern pizzeria kitchen is ready for a busy day of cooking. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Cooking & Food; cooking game; restaurant simulation; time management; casual; modern pizzeria; pizza; vegetables; sunny kitchen; fresh; cheerful; polished; stylized three-dimensional; cartoon; casual game art; yellow; red; orange; gold,silverlakeslayer_fun_cooking_theme_casual_video_game_screensh_fbf22afd-51d2-48d1-b557-63e37db1f7c8_1.png
Tiny Chefs Club,tiny-chefs-club.png,Landscape 1920x1080/Cooking & Food/tiny-chefs-club.png,Landscape,1920x1080,Cooking & Food,cooking game; kids game; educational game; time management,home kitchen; children cooking; ingredients; colorful interior,friendly; playful; educational,flat cartoon two-dimensional; children illustration; casual game art,red,#E45837,red; teal; green,#E45837; #58C6BF; #743B31; #A5DDCD; #899C83,No baked-in UI detected,"Two young chefs cook together in a bright, colorful home kitchen. Optimized as a 1920 by 1080 landscape game background.",game background; environment art; ui-free; background only; landscape; full hd; Cooking & Food; cooking game; kids game; educational game; time management; home kitchen; children cooking; ingredients; colorful interior; friendly; playful; educational; flat cartoon two-dimensional; children illustration; casual game art; red; teal; green,silverlakeslayer_fun_cooking_theme_casual_video_game_screensh_fbf22afd-51d2-48d1-b557-63e37db1f7c8_2.png
Harborhold Kingdom,harborhold-kingdom.png,Portrait 1080x1920/Fantasy & Medieval/harborhold-kingdom.png,Portrait,1080x1920,Fantasy & Medieval,kingdom builder; city builder; strategy; role-playing game,coastal medieval town; harbor; ship; red rooftops,bustling; adventurous; inviting,isometric two-dimensional; stylized map; fantasy game art,green,#34413A,green; red; teal,#34413A; #963936; #208284; #537161; #74AF6D,No baked-in UI detected,A dense coastal kingdom winds around a harbor filled with red roofs and ships. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Fantasy & Medieval; kingdom builder; city builder; strategy; role-playing game; coastal medieval town; harbor; ship; red rooftops; bustling; adventurous; inviting; isometric two-dimensional; stylized map; fantasy game art; green; red; teal,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_19d40b98-6823-48da-a7c7-2a8d765d91e1_0.png
Greenfield Procession,greenfield-procession.png,Portrait 1080x1920/Fantasy & Medieval/greenfield-procession.png,Portrait,1080x1920,Fantasy & Medieval,kingdom builder; tactics; city builder; role-playing game,medieval village; crowds; fields; roads,lively; pastoral; strategic,isometric stylized; map illustration; fantasy game art,yellow,#817B51,yellow; green; orange,#817B51; #9E9E61; #73D249; #624A36; #8FCF59,No baked-in UI detected,Villagers and travelers fill the roads of a green medieval settlement. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Fantasy & Medieval; kingdom builder; tactics; city builder; role-playing game; medieval village; crowds; fields; roads; lively; pastoral; strategic; isometric stylized; map illustration; fantasy game art; yellow; green; orange,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_19d40b98-6823-48da-a7c7-2a8d765d91e1_1.png
Castlewood Crown,castlewood-crown.png,Portrait 1080x1920/Fantasy & Medieval/castlewood-crown.png,Portrait,1080x1920,Fantasy & Medieval,kingdom builder; city builder; strategy; role-playing game,castle valley; red roofs; forest; mountains,grand; verdant; inviting,isometric painterly; stylized map; fantasy game art,teal,#154043,teal; lime; orange,#154043; #436E69; #88906A; #574843; #34A2B6,No baked-in UI detected,A sprawling castle town rises through a forested valley beneath distant towers. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Fantasy & Medieval; kingdom builder; city builder; strategy; role-playing game; castle valley; red roofs; forest; mountains; grand; verdant; inviting; isometric painterly; stylized map; fantasy game art; teal; lime; orange,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_19d40b98-6823-48da-a7c7-2a8d765d91e1_2.png
Siegewater Isle,siegewater-isle.png,Portrait 1080x1920/Fantasy & Medieval/siegewater-isle.png,Portrait,1080x1920,Fantasy & Medieval,strategy; tower defense; kingdom builder; tactics,fortified island; villagers; cliffs; water,busy; tactical; colorful,isometric stylized; strategy map; fantasy game art,brown,#47402F,brown; lime; orange; green,#47402F; #8D7D41; #97B93D; #8B4C30; #59B88C,HUD and UI cropped from frame,"A fortified island settlement spreads across cliffs, roads, and waterways. Optimized as a 1080 by 1920 portrait game background.",game background; environment art; ui-free; background only; portrait; full hd; Fantasy & Medieval; strategy; tower defense; kingdom builder; tactics; fortified island; villagers; cliffs; water; busy; tactical; colorful; isometric stylized; strategy map; fantasy game art; brown; lime; orange; green,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_19d40b98-6823-48da-a7c7-2a8d765d91e1_3.png
Teal Banner Keep,teal-banner-keep.png,Landscape 1920x1080/Fantasy & Medieval/teal-banner-keep.png,Landscape,1920x1080,Fantasy & Medieval,role-playing game; kingdom builder; strategy; adventure,castle village; banners; villagers; farmland,heroic; rustic; sunlit,graphic painterly; stylized two-dimensional; fantasy environment,green,#1A4534,green; olive; teal; brown,#1A4534; #39462C; #3C938F; #83755B; #51A490,No baked-in UI detected,Villagers approach a rugged castle keep beneath a bold teal and coral sky. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Fantasy & Medieval; role-playing game; kingdom builder; strategy; adventure; castle village; banners; villagers; farmland; heroic; rustic; sunlit; graphic painterly; stylized two-dimensional; fantasy environment; green; olive; teal; brown,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_c4a43a98-9c75-45ab-beb3-0184796d3a11_0.png
Crimson Citadel,crimson-citadel.png,Landscape 1920x1080/Fantasy & Medieval/crimson-citadel.png,Landscape,1920x1080,Fantasy & Medieval,role-playing game; strategy; dark fantasy; tower defense,castle silhouettes; red sunset; fortress skyline; wasteland,ominous; epic; dramatic,silhouette painterly; dark fantasy art; two-dimensional,red,#672D38,red,#672D38; #8E3C34; #382023; #BF4540; #E25544,No baked-in UI detected,A massive silhouetted citadel rises through crimson haze at sunset. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Fantasy & Medieval; role-playing game; strategy; dark fantasy; tower defense; castle silhouettes; red sunset; fortress skyline; wasteland; ominous; epic; dramatic; silhouette painterly; dark fantasy art; two-dimensional; red,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_c4a43a98-9c75-45ab-beb3-0184796d3a11_1.png
Twin Moon Pagoda,twin-moon-pagoda.png,Landscape 1920x1080/Fantasy & Medieval/twin-moon-pagoda.png,Landscape,1920x1080,Fantasy & Medieval,dark fantasy role-playing game; strategy; adventure; visual novel,gothic pagoda castle; twin moons; birds; coastal fortress,mysterious; majestic; otherworldly,painterly; stylized two-dimensional; dark fantasy art,teal,#121F1C,teal; turquoise; crimson; red; green,#121F1C; #4D555D; #914354; #962F3E; #71816A,No baked-in UI detected,A towering pagoda-like fortress stands between two glowing celestial bodies. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Fantasy & Medieval; dark fantasy role-playing game; strategy; adventure; visual novel; gothic pagoda castle; twin moons; birds; coastal fortress; mysterious; majestic; otherworldly; painterly; stylized two-dimensional; dark fantasy art; teal; turquoise; crimson; red; green,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_c4a43a98-9c75-45ab-beb3-0184796d3a11_2.png
Furnace Fortress,furnace-fortress.png,Landscape 1920x1080/Fantasy & Medieval/furnace-fortress.png,Landscape,1920x1080,Fantasy & Medieval,dark fantasy role-playing game; strategy; platformer; adventure,fortress silhouettes; fiery horizon; watchtowers; dark landscape,foreboding; epic; intense,painterly silhouette; stylized two-dimensional; dark fantasy art,teal,#435E66,teal; red; crimson,#435E66; #A9303C; #E92654; #3E2222; #B64B48,No baked-in UI detected; letterbox bars removed,A fortress burns against a deep red horizon while tiny figures cross the foreground. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Fantasy & Medieval; dark fantasy role-playing game; strategy; platformer; adventure; fortress silhouettes; fiery horizon; watchtowers; dark landscape; foreboding; epic; intense; painterly silhouette; stylized two-dimensional; dark fantasy art; teal; red; crimson,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_c4a43a98-9c75-45ab-beb3-0184796d3a11_3.png
Cloudvale Kingdom,cloudvale-kingdom.png,Landscape 1920x1080/Fantasy & Medieval/cloudvale-kingdom.png,Landscape,1920x1080,Fantasy & Medieval,role-playing game; city builder; strategy; adventure,aerial mountain village; lush hills; red roofs; castle,enchanted; grand; peaceful,painterly three-dimensional; fantasy environment; aerial vista,teal,#184646,teal; turquoise; silver,#184646; #4B5758; #8CA2B0; #537B87; #868587,No baked-in UI detected; letterbox bars removed,A lush mountain kingdom spreads across misty peaks beneath soft clouds. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Fantasy & Medieval; role-playing game; city builder; strategy; adventure; aerial mountain village; lush hills; red roofs; castle; enchanted; grand; peaceful; painterly three-dimensional; fantasy environment; aerial vista; teal; turquoise; silver,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_f28b532c-cd2b-40b8-8cd5-fd115e50753e_0.png
Sandstone Stronghold,sandstone-stronghold.png,Landscape 1920x1080/Fantasy & Medieval/sandstone-stronghold.png,Landscape,1920x1080,Fantasy & Medieval,strategy; role-playing game; city builder; survival,desert fortress; sunset; sandstone walls; market structures,imposing; austere; warm,stylized three-dimensional; painterly; fantasy environment,brown,#6A5430,brown; yellow; gold; orange,#6A5430; #3E3A22; #A88664; #E9BF67; #BE906A,No baked-in UI detected,A massive sandstone fortress towers over a sparse settlement at sunset. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Fantasy & Medieval; strategy; role-playing game; city builder; survival; desert fortress; sunset; sandstone walls; market structures; imposing; austere; warm; stylized three-dimensional; painterly; fantasy environment; brown; yellow; gold; orange,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_f28b532c-cd2b-40b8-8cd5-fd115e50753e_1.png
Pale Banner Bastion,pale-banner-bastion.png,Landscape 1920x1080/Fantasy & Medieval/pale-banner-bastion.png,Landscape,1920x1080,Fantasy & Medieval,strategy; role-playing game; platformer; adventure,pale fortress; bridge; cliffs; banners,stark; windswept; heroic,graphic two-dimensional; stylized fantasy art; minimal palette,green,#2A3829,green,#2A3829; #8BAE98; #A1BEA1; #C0DABA; #5D7263,No baked-in UI detected; letterbox bars removed,A pale fortress spans steep cliffs with bridges and red banners. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Fantasy & Medieval; strategy; role-playing game; platformer; adventure; pale fortress; bridge; cliffs; banners; stark; windswept; heroic; graphic two-dimensional; stylized fantasy art; minimal palette; green,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_f28b532c-cd2b-40b8-8cd5-fd115e50753e_2.png
Ember Cathedral,ember-cathedral.png,Landscape 1920x1080/Fantasy & Medieval/ember-cathedral.png,Landscape,1920x1080,Fantasy & Medieval,dark fantasy role-playing game; strategy; adventure; horror,gothic cathedral city; fire; hooded figures; night,ominous; dramatic; nocturnal,painterly; dark fantasy art; cinematic environment,red,#4D1E23,red,#4D1E23; #2E181A; #A23C48; #452527; #3F2D30,No baked-in UI detected; letterbox bars removed,Hooded figures face a fiery gothic city reflected in dark water. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Fantasy & Medieval; dark fantasy role-playing game; strategy; adventure; horror; gothic cathedral city; fire; hooded figures; night; ominous; dramatic; nocturnal; painterly; dark fantasy art; cinematic environment; red,silverlakeslayer_fun_medievel_casual_video_game_screenshot_--_f28b532c-cd2b-40b8-8cd5-fd115e50753e_3.png
Paws and Paperwork,paws-and-paperwork.png,Landscape 1920x1080/Simulation & Lifestyle/paws-and-paperwork.png,Landscape,1920x1080,Simulation & Lifestyle,pet care; management simulation; office simulation; casual,pet shop office; animals; desks; colorful interior,playful; bustling; cozy,low-poly three-dimensional; cartoon; simulation game art,orange,#723825,orange; red; yellow,#723825; #D83C2C; #AA6D59; #B3855F; #CEC494,No baked-in UI detected,Animals and workers fill a colorful pet-themed office and shop interior. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Simulation & Lifestyle; pet care; management simulation; office simulation; casual; pet shop office; animals; desks; colorful interior; playful; bustling; cozy; low-poly three-dimensional; cartoon; simulation game art; orange; red; yellow,silverlakeslayer_fun_simulation_and_mini-game_compilation_cas_cf125277-7dde-4205-aa29-8a0b67838710_0.png
Palmside Pitstop,palmside-pitstop.png,Landscape 1920x1080/Simulation & Lifestyle/palmside-pitstop.png,Landscape,1920x1080,Simulation & Lifestyle,driving; racing; open-world adventure; life simulation,retro roadside motel; convertible car; palm trees; sunny street,sunny; nostalgic; relaxed,low-poly three-dimensional; retro stylized; open-world game art,teal,#51B7C0,teal; orange; green; lime,#51B7C0; #E17E5F; #745640; #5C8472; #ACBB9E,No baked-in UI detected,A convertible waits outside a sunny retro roadside stop lined with palm trees. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Simulation & Lifestyle; driving; racing; open-world adventure; life simulation; retro roadside motel; convertible car; palm trees; sunny street; sunny; nostalgic; relaxed; low-poly three-dimensional; retro stylized; open-world game art; teal; orange; green; lime,silverlakeslayer_fun_simulation_and_mini-game_compilation_cas_cf125277-7dde-4205-aa29-8a0b67838710_1.png
Carnival Catwalk,carnival-catwalk.png,Landscape 1920x1080/Simulation & Lifestyle/carnival-catwalk.png,Landscape,1920x1080,Simulation & Lifestyle,party game; minigame collection; casual sports; kids game,carnival water park; cats; inflatables; rides,exuberant; silly; bright,stylized three-dimensional; cartoon; party game art,red,#D24E4C,red; turquoise; gold; teal,#D24E4C; #6989AF; #4B3733; #FECC66; #77B2BB,No baked-in UI detected,Cool cats pose amid a riot of colorful carnival rides and inflatables. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Simulation & Lifestyle; party game; minigame collection; casual sports; kids game; carnival water park; cats; inflatables; rides; exuberant; silly; bright; stylized three-dimensional; cartoon; party game art; red; turquoise; gold; teal,silverlakeslayer_fun_simulation_and_mini-game_compilation_cas_cf125277-7dde-4205-aa29-8a0b67838710_2.png
Poolside Royalty,poolside-royalty.png,Landscape 1920x1080/Simulation & Lifestyle/poolside-royalty.png,Landscape,1920x1080,Simulation & Lifestyle,party game; casual sports; racing; minigame collection,water park; inner tubes; animals; pink pool,playful; summery; vivid,stylized three-dimensional; cartoon; party game art,teal,#4ABEC5,teal; rose; turquoise; green; sky blue,#4ABEC5; #E86A7F; #56758A; #A3CFB0; #96A3B6,No baked-in UI detected,A stylish animal lounges in a bright inner tube at a crowded fantasy water park. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Simulation & Lifestyle; party game; casual sports; racing; minigame collection; water park; inner tubes; animals; pink pool; playful; summery; vivid; stylized three-dimensional; cartoon; party game art; teal; rose; turquoise; green; sky blue,silverlakeslayer_fun_simulation_and_mini-game_compilation_cas_cf125277-7dde-4205-aa29-8a0b67838710_3.png
Ooze Orbit Outpost,ooze-orbit-outpost.png,Landscape 1920x1080/Strategy & Battle/ooze-orbit-outpost.png,Landscape,1920x1080,Strategy & Battle,tower defense; real-time strategy; tactics; science fiction,alien island map; defense towers; orange slime; industrial base,strategic; quirky; high-energy,hand-drawn two-dimensional; cartoon strategy art; map view,teal,#629F9D,teal; orange; yellow,#629F9D; #744A3A; #7AC6BF; #757565; #7CBCB2,HUD and UI cropped from frame,"A strange alien outpost is ringed by towers, glowing slime, and advancing units. Optimized as a 1920 by 1080 landscape game background.",game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; tower defense; real-time strategy; tactics; science fiction; alien island map; defense towers; orange slime; industrial base; strategic; quirky; high-energy; hand-drawn two-dimensional; cartoon strategy art; map view; teal; orange; yellow,silverlakeslayer_fun_tower_defense_casual_video_game_screensh_02f3a23c-555b-471c-907d-9809c70da0ca_0.png
Slimebeach Siege,slimebeach-siege.png,Landscape 1920x1080/Strategy & Battle/slimebeach-siege.png,Landscape,1920x1080,Strategy & Battle,tower defense; real-time strategy; tactics; casual strategy,beach battlefield; teal monster; red base; coastline,playful; chaotic; colorful,hand-drawn two-dimensional; cartoon strategy art; map view,green,#7AC3A4,green; red; gold; yellow,#7AC3A4; #A34C3D; #F5B43B; #F5B53B; #9D9257,HUD and UI cropped from frame,A cheerful teal monster and a red fortress anchor a bright beach battlefield. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; tower defense; real-time strategy; tactics; casual strategy; beach battlefield; teal monster; red base; coastline; playful; chaotic; colorful; hand-drawn two-dimensional; cartoon strategy art; map view; green; red; gold; yellow,silverlakeslayer_fun_tower_defense_casual_video_game_screensh_02f3a23c-555b-471c-907d-9809c70da0ca_1.png
Cannon Cove,cannon-cove.png,Landscape 1920x1080/Strategy & Battle/cannon-cove.png,Landscape,1920x1080,Strategy & Battle,tower defense; real-time strategy; tactics; casual strategy,tropical island; tank; fortress; coastline,tactical; bright; action-packed,hand-drawn two-dimensional; cartoon strategy art; map view,teal,#5EC0A9,teal; orange; gold,#5EC0A9; #65554F; #F0C288; #CFB163; #639A8D,HUD and UI cropped from frame,A red tank attacks a fortified tropical island surrounded by bright water. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; tower defense; real-time strategy; tactics; casual strategy; tropical island; tank; fortress; coastline; tactical; bright; action-packed; hand-drawn two-dimensional; cartoon strategy art; map view; teal; orange; gold,silverlakeslayer_fun_tower_defense_casual_video_game_screensh_02f3a23c-555b-471c-907d-9809c70da0ca_2.png
Autumnhorn Village,autumnhorn-village.png,Landscape 1920x1080/Strategy & Battle/autumnhorn-village.png,Landscape,1920x1080,Strategy & Battle,tower defense; strategy; role-playing game; tactics,autumn village map; horned hall; streams; forest,cozy; strategic; fantastical,painterly two-dimensional; fantasy strategy art; map view,gold,#E38F3C,gold; red; orange; green,#E38F3C; #634A49; #BF5E39; #F6B855; #93C487,HUD and UI cropped from frame,"An autumn village curls around a horned central hall, streams, and winding paths. Optimized as a 1920 by 1080 landscape game background.",game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; tower defense; strategy; role-playing game; tactics; autumn village map; horned hall; streams; forest; cozy; strategic; fantastical; painterly two-dimensional; fantasy strategy art; map view; gold; red; orange; green,silverlakeslayer_fun_tower_defense_casual_video_game_screensh_02f3a23c-555b-471c-907d-9809c70da0ca_3.png
Neon Convoy,neon-convoy.png,Portrait 1080x1920/Strategy & Battle/neon-convoy.png,Portrait,1080x1920,Strategy & Battle,vehicle combat; shoot-em-up; endless shooter; arcade,neon city street; armored convoy; explosions; traffic,frantic; explosive; futuristic,top-down three-dimensional; arcade action art; neon,brown,#463E33,brown; red; silver,#463E33; #625456; #9F3B4B; #96656D; #9B8E8D,HUD and UI cropped from frame,An armored convoy tears through a neon city street amid heavy explosions. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Strategy & Battle; vehicle combat; shoot-em-up; endless shooter; arcade; neon city street; armored convoy; explosions; traffic; frantic; explosive; futuristic; top-down three-dimensional; arcade action art; neon; brown; red; silver,silverlakeslayer_fun_war_casual_video_game_screenshot_--no_ui_73e7bffd-0fd6-4db5-8cbf-870a30dfdb01_0.png
Redline Rebellion,redline-rebellion.png,Landscape 1920x1080/Strategy & Battle/redline-rebellion.png,Landscape,1920x1080,Strategy & Battle,strategy; action game; shooter; tower defense,red battlefield; robots; burning structures; war zone,intense; apocalyptic; bold,graphic three-dimensional; stylized combat art; science fiction,red,#BC2A1A,red; rose; orange; turquoise; gold,#BC2A1A; #C77162; #62200E; #6C899E; #A79B89,No baked-in UI detected,Robotic forces clash across a red-hot battlefield beneath a burning giant. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; strategy; action game; shooter; tower defense; red battlefield; robots; burning structures; war zone; intense; apocalyptic; bold; graphic three-dimensional; stylized combat art; science fiction; red; rose; orange; turquoise; gold,silverlakeslayer_fun_war_casual_video_game_screenshot_--no_ui_cfe2d9a0-f45b-4586-b77c-01792e8fa720_0.png
Monsterfire Melee,monsterfire-melee.png,Landscape 1920x1080/Strategy & Battle/monsterfire-melee.png,Landscape,1920x1080,Strategy & Battle,tower defense; tactics; action role-playing game; strategy,fantasy battlefield; giant monsters; magic beams; village,chaotic; colorful; epic,hand-drawn two-dimensional; cartoon fantasy art; battle scene,magenta,#3E343A,magenta; red; orange; yellow,#3E343A; #A0554F; #946844; #973949; #9D9F7D,HUD and UI cropped from frame,Giant monsters and tiny fighters trade magical fire across a crowded fantasy battlefield. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; tower defense; tactics; action role-playing game; strategy; fantasy battlefield; giant monsters; magic beams; village; chaotic; colorful; epic; hand-drawn two-dimensional; cartoon fantasy art; battle scene; magenta; red; orange; yellow,silverlakeslayer_fun_war_casual_video_game_screenshot_--no_ui_cfe2d9a0-f45b-4586-b77c-01792e8fa720_3.png
Pink Sky Juggernaut,pink-sky-juggernaut.png,Landscape 1920x1080/Strategy & Battle/pink-sky-juggernaut.png,Landscape,1920x1080,Strategy & Battle,tank combat; strategy; action game; side-scrolling shooter,giant tank fortress; pink clouds; industrial outpost; desert,absurd; imposing; cinematic,painterly two-dimensional; stylized military art; side view,rose,#EA7177,rose; crimson; red; magenta,#EA7177; #894F5C; #453634; #997D94; #F591AC,No baked-in UI detected,A colossal improvised tank fortress dominates an outpost beneath pink clouds. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; tank combat; strategy; action game; side-scrolling shooter; giant tank fortress; pink clouds; industrial outpost; desert; absurd; imposing; cinematic; painterly two-dimensional; stylized military art; side view; rose; crimson; red; magenta,silverlakeslayer_fun_war_casual_video_game_screenshot_--no_ui_df127d2d-2299-4586-9d7b-b3b445a33e5b_0.png
Dustbowl Detonation,dustbowl-detonation.png,Landscape 1920x1080/Strategy & Battle/dustbowl-detonation.png,Landscape,1920x1080,Strategy & Battle,tactics; strategy; vehicle combat; tower defense,desert battlefield; tanks; explosions; ruined village,intense; dusty; chaotic,isometric three-dimensional; stylized combat art; strategy map,red,#A94A34,red; orange,#A94A34; #643B2F; #D05C3A; #EF6633; #F36E35,No baked-in UI detected; letterbox bars removed,Tanks and vehicles battle through a dusty desert village filled with explosions. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; tactics; strategy; vehicle combat; tower defense; desert battlefield; tanks; explosions; ruined village; intense; dusty; chaotic; isometric three-dimensional; stylized combat art; strategy map; red; orange,silverlakeslayer_fun_war_casual_video_game_screenshot_--no_ui_df127d2d-2299-4586-9d7b-b3b445a33e5b_1.png
Tropic Tankstorm,tropic-tankstorm.png,Landscape 1920x1080/Strategy & Battle/tropic-tankstorm.png,Landscape,1920x1080,Strategy & Battle,tactics; strategy; vehicle combat; tower defense,tropical town battlefield; tanks; fire; coastline,action-packed; gritty; sunny,isometric three-dimensional; stylized combat art; strategy map,gold,#EDAB6E,gold; red; charcoal; orange,#EDAB6E; #57403B; #32302E; #926B4E; #8C3B2A,HUD and UI cropped from frame,Armored vehicles fight through a tropical coastal town as fires spread around them. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Strategy & Battle; tactics; strategy; vehicle combat; tower defense; tropical town battlefield; tanks; fire; coastline; action-packed; gritty; sunny; isometric three-dimensional; stylized combat art; strategy map; gold; red; charcoal; orange,silverlakeslayer_fun_war_casual_video_game_screenshot_--no_ui_df127d2d-2299-4586-9d7b-b3b445a33e5b_2.png
Bubblegum Boulevard,bubblegum-boulevard.png,Landscape 1920x1080/Kids & Casual/bubblegum-boulevard.png,Landscape,1920x1080,Kids & Casual,platformer; casual arcade; kids game; adventure,pastel city park; clouds; platforms; side-scrolling level,cheerful; sweet; breezy,cartoon two-dimensional; colorful platformer art; side-scroller,turquoise,#4AB2DB,turquoise; red; teal,#4AB2DB; #DC5C3C; #8D545A; #729AA8; #7AC3B1,HUD and UI cropped from frame,A bright pastel platforming stage stretches across a candy-colored city park. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Kids & Casual; platformer; casual arcade; kids game; adventure; pastel city park; clouds; platforms; side-scrolling level; cheerful; sweet; breezy; cartoon two-dimensional; colorful platformer art; side-scroller; turquoise; red; teal,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_5adfa07f-a104-4bed-9b9c-18a60b9fa4e7_0.png
Whimsywood Wanderer,whimsywood-wanderer.png,Landscape 1920x1080/Kids & Casual/whimsywood-wanderer.png,Landscape,1920x1080,Kids & Casual,platformer; kids game; adventure; puzzle,painterly forest; blue creature; whimsical trees; woodland,gentle; magical; curious,storybook two-dimensional; painterly; children game art,green,#385A3B,green; magenta; teal; silver,#385A3B; #B74D75; #85B4B4; #599492; #91998C,No baked-in UI detected,A small blue creature explores a softly painted forest of strange friendly trees. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Kids & Casual; platformer; kids game; adventure; puzzle; painterly forest; blue creature; whimsical trees; woodland; gentle; magical; curious; storybook two-dimensional; painterly; children game art; green; magenta; teal; silver,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_5adfa07f-a104-4bed-9b9c-18a60b9fa4e7_1.png
Jellybean Junction,jellybean-junction.png,Landscape 1920x1080/Kids & Casual/jellybean-junction.png,Landscape,1920x1080,Kids & Casual,platformer; kids game; casual adventure; puzzle,colorful houses; floating platforms; city skyline; rooftops,cheerful; bouncy; bright,cartoon two-dimensional; colorful platformer art; side-scroller,teal,#54AAC6,teal; red; green,#54AAC6; #884E49; #6E8464; #9BDCEC; #7BB7BD,No baked-in UI detected,Bright houses and floating platforms create a cheerful city platforming course. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Kids & Casual; platformer; kids game; casual adventure; puzzle; colorful houses; floating platforms; city skyline; rooftops; cheerful; bouncy; bright; cartoon two-dimensional; colorful platformer art; side-scroller; teal; red; green,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_5adfa07f-a104-4bed-9b9c-18a60b9fa4e7_2.png
